# HOTD2 global data labels — the committed source of truth for the Ghidra database.
#
# Format: <address>\t<name>\t<optional comment>
#
# Regenerate:  ./ghidra/run.sh export-annotations
# Replay:      ./ghidra/run.sh apply-annotations
#
# Windows TEB fields and resource labels are excluded: Ghidra creates those itself.
#
# **Rows are sorted by address, and every writer must keep them that way.**
# tools/annotate.py inserts in order; ExportAnnotations.java re-sorts on write.
# The file used to be append-only and grouped into topical sections, and both
# workstreams appending at the tail is where every TSV merge conflict came
# from -- two branches adding unrelated rows to the same last line. Sorted
# insertion puts them in different parts of the file instead. The sections
# went with it: each one spanned nearly the whole segment, so address order
# broke the twelve of them into 149 fragments.

004330c4	g_class33_selector_targets	jump targets for spawn class 0x33
004d0d84	g_pBoneDamageByRank	per character: s8[bone][0x10], a difficulty addend on top of g_pBoneDamage
004d1b00	g_asset_bank_names	bank id -> filename; SHARED with the camera paths
004d1cc4	g_coli_filename_table
004d5390	g_effect_trees	29 pointers, one per effect id, to the root node of that effect's part tree: {u32 asset slot; s16 bone index; u16 child count; u32 children[]}. Same shape as g_character_skeletons but with no bind offsets -- an effect's translations come per-frame from its motion. Bounded by g_effect_bone_counts at 0x004D5404: 0x74 / 4 = 29 entries, and every tree's node count matches its bone count.
004d5404	g_effect_bone_counts	s16 per effect id: how many nodes its tree has, INCLUDING the root, and therefore n-1 bones of animation data. EffectFrameTranslations and EffectFrameRotations both derive the motion stride from it as (n * 0x12 - 0xF) & ~3 -- truncating, not rounding up -- so one frame is (n-1) translations of three floats followed by (n-1) rotations of three BAMS shorts. Effects 2 and 3 are 3 nodes each and motion 471's block strides 36 bytes, which is that formula exactly.
004d5440	g_effect_interp_mode	u8 per effect id, the rate EffectPoseNode samples at. 0 reads one key per play frame. 1 and 2 halve it -- key = cursor / 2, blended half way toward key + 1 on odd cursors -- and 2 additionally slerps through matrices when any of the three angles differs by more than 0x3000. Effects 2 and 3 are mode 1.
004d5464	g_wave_circular_falloff	0.01f. A circular ripple's amplitude scales by max(0, 1 - r * this), so it dies at 100 units.
004e0430	g_character_skeletons	char type -> skeleton block; count at +0x16, node pointers at +0x18
004e0724	g_character_bone_counts	char type -> bones in a motion frame; one more than the top bone index
004e07d0	g_motion_play_length	motion id -> the clip clock the scripts compare against, s16 per id. NOT the frame count: the animation clock ticks once per 60 Hz frame over data authored at 30 Hz, so across the 220 motions the bundles bake it is 2n-2 for 91 and 2n-3 for the other 129 and never anything else. Every cue expressed in clip frames is in these units -- ZombieStateTargetMotionScript's kill frame, ZombieStateMotionCue21's exit, the class-0x25 VM's -1 for the last frame, class 0x24's 0x32 drift cue. Comparing them against the authored frame count loses every cue past halfway.
004e21f4	g_preload_lists_by_scene	Pointers to -1-terminated s16 asset-id lists, indexed by g_scene_index. PreloadScreenAssetList (0x00412FD0) uses this table whenever the app state is not 6, and in play for g_GameMode 0 and 1 (Arcade and Original). The three tables after it are the mode-specific ones, and the gaps fix their widths: 0x004E2224 is six entries, 0x004E223C is twenty.
004e2224	g_preload_lists_boss_by_scene	Pointers to asset-id lists indexed by g_scene_index, used by PreloadScreenAssetList only in play with g_GameMode == 3 (Boss). Exactly six entries wide -- 0x004E2224 to 0x004E223C -- one per playable scene.
004e223c	g_preload_lists_training_by_block	Pointers to asset-id lists indexed by g_evt_block_index, used by PreloadScreenAssetList only in play with g_GameMode == 2 (Training), except at block 3 which goes to g_preload_lists_training_by_lesson instead. Twenty entries wide, 0x004E223C to 0x004E228C.
004e228c	g_preload_lists_training_by_lesson	Pointers to asset-id lists indexed by g_training_lesson, used by PreloadScreenAssetList in play with g_GameMode == 2 (Training) at event block 3 only. The one place in the program where the lesson selector chooses assets rather than targets.
004e2b14	g_motion_bank_ids	bank id -> s16 array of the motion ids it holds
004e2bdc	g_motion_bank_count	bank id -> how many motions
004e2c40	g_motion_bank_of	motion id -> bank id, the argument MotionRequestBankLoad takes
004ec4c0	g_actor_attachment_records	81 records of {s32 bone; s32 asset_slot}, 0x004EC4C0 .. 0x004EC748, pointed at one by one by g_actor_attachment_table. Ids 0x00-0x23 are all bone 2 and name a hito_kao_*/etc_*_kao head, which ActorBindPartList swaps in for the skeleton's own; ids 0x24-0x50 name an etc_komono_* accessory on bone 2 (hair and hats), bone 1 (bags and aprons) or bones 12 and 15 (shoes), which ActorDrawAttachedParts draws in addition. kao = face, komono = small accessory.
004ec748	g_actor_attachment_table	81 pointers into g_actor_attachment_records, indexed by the s16 ids in an actor's attachment list at obj+0x1170. The list itself is authored per spawn: for class 0x10 it is the pointer at the spawn tail's +0x08.
004ec8bc	g_gunshot_sound_ids	u32 per player: the shot the gun makes. PlayerFireAndReloadUpdate plays g_gunshot_sound_ids[player] at the trigger, right after PlayerShotEffectSpawn, and PlayerFireOriginalModeWeapon falls back to it whenever the equipped weapon has no sound of its own -- which is every weapon in the shipped build, because g_original_weapon_sound_kind is seeded 0 and index 0 of g_original_weapon_gunshot_ids is 0. The two values are a9163400 a9163300: 0x003416A9 is COMMON\GUN5_22.WAV for player 0 and 0x003316A9 is COMMON\GUN4_22.WAV for player 1. A dry trigger plays nothing at all -- with the magazine empty the routine goes to PlayerRefillMagazine instead, which plays 0x3E16A9 COMMON\RELOAD1_44.WAV while the firing gate is open.
004ec9a0	g_original_weapon_gunshot_ids	u32[8], one gunshot sound per Original Mode weapon, indexed by g_original_weapon_sound_kind and read only by PlayerFireOriginalModeWeapon. Bounded by g_original_weapon_reload_ids starting at 0x004EC9C0, not by a terminator. Entry 0 is 0, which is the fall-back to g_gunshot_sound_ids; 1..7 are DC_SE\SHOT_GUN_22, MCHN_GUN_22, GRENADE_22, MAGNUM_22, AIR_GUN_22, TOY_GUN1_44 and RULE3_22. The order agrees with g_original_weapon_kind's own arms -- 3 is the grenade that draws no muzzle flash, 4 the magnum, 5 the air gun.
004ec9c0	g_original_weapon_reload_ids	u32[8], the reload sound per Original Mode weapon, indexed by g_original_weapon_sound_kind and read only by PlayerReloadOriginalModeWeapon. Only two entries are set: 3 is DC_SE\GR_REL_22.wav for the grenade and 5 is DC_SE\AIR_G_REL_22.wav for the air gun; the other six are 0 and take COMMON\RELOAD1_44.WAV. Ends at 0x004EC9E0, where a u16 table begins.
004ed1e0	g_character_part_bones	Five s32 per part. The first four are the bones the part's four VERTEX GROUPS are pulled toward; the fifth is the bone whose matrix the whole part is drawn in -- DrawCharacterPartSlot sets the matrix from it and DeformCharacterPartGroup pre-multiplies by its inverse, so the two cancel and a vertex lands at group_bone_matrix * source. A group whose bone equals the fifth therefore deforms to the identity, which is why the group-0-only drawer is correct for a part whose other group is the draw bone's. Default part 0 is {1,1,9,0} drawn at 9 -- upper body and pelvis, the waist. Part 1 is {9,9,10,13} drawn at 9 -- pelvis and both thighs, a skirt. Per-character-type tables replace it for 0x0E (0x004ED348), 0x1F/0x46/0x4E (0x004ED4B0), 0x41 (0x004ED780), 0x4C (0x004ED618) and 0x53 (0x004ED8E8).
004edaec	g_character_part_drawers	Per character type, a pointer to an array of draw routines, one per entry in that type's g_pCharacterExtraParts list. DrawCharacterPart calls g_character_part_drawers[char_type][i](i).
0052ea38	g_class17_subpart_records	Eight records for character type 0x17's part 1, stride 0x10: {s32 bone; s32 asset_slot; u32 mesh_info; u32 draw_info}. Read only by BuildCharacterPartSubparts.
0052ed08	g_pCharacterExtraParts	{u32 count; u32 *descriptors[]} per character type -- the VERTEX-BLENDED parts, which are not in the skeleton because they are not rigid to one bone. BuildCharacterPart makes each one a private copy of the model's vertex buffer and re-transforms up to four groups of its vertices by four different bone matrices every frame (g_character_part_bones), then draws the whole slot in a fifth bone's space. 68 of 76 types have one or two; the cat has none. Part 0 is the waist, which spans the upper body and the pelvis, and without it a humanoid has a hole there. Part 1 is the skirt, over the pelvis and both thighs -- its slot is the PELVIS MODEL ITSELF, and SkeletonNodeDrawSuppressed is what stops bone 9 also drawing it rigidly.
0055e1b4	g_boss_shot_damage_cap	33.0, and it is shared rather than boss-specific: Class14ApplyBoneDamage and Boss4ResolveShot both cap on it. Class14ApplyBoneDamage doubles g_class14_bone_damage in Arcade Mode -- or multiplies it by the Original-Mode weapon's factor -- and then takes the smaller of that and this, so one shot can never cost the stage-2 boss more than 33 of its 200 or 300 hit points.
005644e4	g_wave_source_kinds	{handler, object size} per wave-source kind, stride 8: 0 travelling (WaveSourceTravellingTick), 1 circular (WaveSourceCircularTick).
00564550	g_class43_approach_curves	s16[4 subtype][4 member][4 point][3] -- the run-in path each class-0x43 owl flies before its first dive, 384 bytes ending exactly at the float constant pool at 0x005646D0. Read by OwlEvalApproachSplinePoint through a uniform quadratic B-spline basis over two segments. Every row's first point is its descriptor's spawn position; subtype 0's four rows are the placeholder {(-1,0,0),(0,0,0),(0,0,0),(0,0,0)}, because a subtype-0 owl starts in state 4 and never enters state 3.
005647a4	g_class20_idle_motions	u32[4] = {1021, 1023, 1024, 1025}. OneHitTargetInit (0x00448ED0) picks one with rand() & 3 when the spawn's tail+0x06 names no motion. All four are ids char_adv00 (character type 7) carries, which is the corroboration; the shipped class-0x20 spawns that DO name one name 1024, which is in the table.
00564918	g_class31_arc_leap_land	State 20's arc motion script for characters other than 0x17, chosen at random from this and the byte-identical copy at 00564948: {0x12C,50,0,55}{0x12C,56,0,63}{0x12C,64,5,98}.
005649a8	g_class31_arc_backoff_c16	State 10's arc motion script for character type 0x16: {0x001,3,5,16}{0x001,17,5,24}{0x001,25,5,34}.
00564a38	g_class31_arc_to_wall_a	State 15's arc motion script {0x123,0,5,15}{0x123,16,5,33}{0x123,34,5,43}; on completion the state sets obj+0x136C bit 6.
00564a68	g_class31_arc_to_wall_b	State 14's arc motion script {0x122,0,5,15}{0x122,16,5,33}{0x122,34,5,43}; on completion the state sets obj+0x136C bit 7.
00564a98	g_class31_arc_to_ceiling	State 16's arc motion script {0x135,0,5,29}{0x135,30,5,59}{0x135,60,5,87}; on completion the state sets obj+0x136C bit 8.
00564ac8	g_class31_arc_backoff_c19	State 10's arc motion script for character type 0x19 and any type other than 0x16, 0x17 and 0x18: {0x11A,0,5,38}{0x11A,39,0,65}{0x11A,66,0,79}.
00564af8	g_class31_arc_backoff_headbutt	State 10's arc motion script when obj+0x131A is 3 and the character is not 0x18: {0x11A,30,5,38}{0x11A,39,0,65}{0x11A,66,0,79}.
00564d08	g_class31_arc_backoff_c18	State 10's four arc motion scripts for character type 0x18, one per stance at stride 0x30: motions 0x1EB, 0x1F9, 0x1EF and 0x201, each cut {0,5,1}{2,5,21}{22,0,43}.
00565d98	g_class31_hit_reaction_row_a	s32[8], reaction group to stumble motion, shared by behaviour sets 0, 1 and 3: 3A7 3A3 3A7 3AA 3AB 3A7 3A2 3A1.
00565db8	g_class31_hit_reaction_row_b	s32[8], the same for behaviour set 2 (zskamere): 1BD 1BD 1BD 1BF 1BE 1BD 1BD 1BD.
00565e28	g_class31_arc_path_c17	Arc motion script {0x1B7,0,0,19}{0x1B7,20,0,31}{0x1B7,32,0,42}, used by character type 0x17 in states 20 and 26.
00565e58	g_class31_arc_path_style1	State 26's arc motion script when the waypoint's style word is 1: {0x12D,12,1,12} three times.
00565e88	g_class31_arc_path_style2	State 26's arc motion script when the waypoint's style word is 2: {0x12D,7,0,11}{0x12C,48,1,65}{0x12D,17,1,22}.
00565eb8	g_class31_arc_path_style0	State 26's arc motion script for any other waypoint style: {0x12D,0,0,8}{0x12D,9,0,17}{0x12D,18,0,23}.
00565ef4	g_st2car_path_table	s16[11]: 0x148 0x14E 0x14D then op_train 0x19A..0x1A1. The op_ object path an instance takes its pose from, by instance index (obj+0x1350). Rows 0-2 are the three opening shots, the same paths FUN_004521B0 picks by camera path 0x38/0x39/0x3A; rows 3-10 are the eight traffic instances. Read by the car's poser FUN_00452930 and FUN_004525C0 AND by class 0x21's RescueTargetPoseFromRoute/WithVelocity -- which is what proves the rescue target rides the car rather than a route of its own. Bounded by abutment: g_class21_hp_by_rank (0x00565F0C) is one zero word past the last entry.
00565f0c	g_class21_hp_by_rank	s16[16], indexed by g_damage_rank (0x009C8E96, 0..15): 1 1 1 1 2 2 2 2 2 2 3 3 3 3 4 4. RescueTargetInit writes it straight into obj+0x11C, so it is the number of part hits the rescue takes. SIXTEEN rows, not five -- the extent is bounded by abutment, g_st2car_asset_variants (0x00565F2C) beginning exactly sixteen s16 later. It was recorded as '1 or 2 by difficulty', which is the wrong index source and the wrong extent (L6).
00565f2c	g_st2car_asset_variants	int[2][4]; row 1 is the post-crash set
00566124	g_wait_turn_variant	s32[10] of 0 and 1. ZombieStateAttackRun picks one with (rand() >> 4) %% 10 and ORs it into obj+0x136C at bit 21, which is the bit ZombieStateWaitTurn indexes the motion row with -- so which idle a waiting zombie plays is a coin flip from a table, not a duration.
00567990	g_accuracy_bonus_table
005679a8	g_pfnRunPhaseHandlers	Thirteen function pointers, indexed by g_nRunPhase. See RunPhaseDispatch (0x0045FEE0).
005679f4	g_initial_damage_rank	s8[5], difficulty -> starting g_damage_rank: -3, -1, 1, 4, 8. Not clamped on the way in; UpdateDamageRank clamps to [0,15] on its first pass.
0056b0e4	g_hp_percent_by_rank	u8[16], g_damage_rank -> the percentage of a spawn's descriptor hit points it actually starts with: 60 60 70 80 90 100 100 100 105 110 115 120 125 125 130 130. CivilianInit applies it to every child it builds.
005702a8	g_civilian_scripts	Class 0x10's script table: 67 dword pointers into 0x0056B9E4..0x005702A8, indexed by the spawn tail's byte +0x01. CivilianRunScript walks the stream it names. Ops 0x0E/0x0F/0x1E/0x1F point at further streams that live in the gaps between the table's own entries, so the whole set is 136 streams and 1967 commands. Decoded by ExeTables.civilian_scripts.
005703b4	g_class26_path_by_selector	selector 6 -> path 0x183, 7 -> 0x184
00570490	g_boss4_phase_hp_fraction	Nine floats, 8/9 down to 0, repeated for the second arena: the share of obj+0x11E below which class 0x19 stops taking damage until its next phase. Indexed by the phase at state+0x08.
005704d7	g_boss4_head_damage	Class 0x19's head damage, indexed g_players_in_play + rank*2 where rank is the byte at state+0x0B. Two players do less: 26/22 at rank 0 falling to 9/13 at rank 15.
00570510	g_boss4_pin_picks	Class 0x19 state 0x12's pick table, stride 0x20. +0x02 s16 the clip, +0x04 s16 the frame the player is taken down on, +0x06 s16 the frame they are let go.
005709b4	g_boss4_approach_picks	Class 0x19's attack pick table, nine bytes per rank, read by Boss4PickApproachAttack as [rank*9 + rand()%%9]. 0, 1 and 2 select states 0xF, 0x10 and 0x11.
00571210	g_identity_matrix
00576a8c	g_SceneRegionTableMode1
00576abc	g_SceneRegionIdTableMode1
00576c04	g_camera_turn_rate_curves	Four 64-byte curves indexed by the look-at angle error clamped to 0x1FFF and shifted right 7. The scene reset selects curve 1: rate 64 below about 18 degrees, ramping to 16 past 23. A larger value is a SLOWER turn.
00576c14	g_scene_state_table	the 6x9 scene state machine
00576cf0	g_camera_preset_table
00576d38	g_cam_path_length	per-slot play length, stride 4
00577650	g_evt_spawn_gated_handlers	Forward table for the player-count-gated spawn opcodes 0x01-0x08, indexed by the opcode itself; entry 0 is unused. Entries 1-4 and 5-8 are the same four handlers: EvtOpSpawnPlaced09, EvtOpSpawnSimple0A, EvtOpSpawnObj0B, EvtOpSpawnObjC0C. Read by EvtOpSpawnIfOnePlayer and EvtOpSpawnIfTwoPlayers.
00577674	g_hit_voice_table	ActorPlayHitVoice's sound table, fifteen dwords. [0..4] the five impact ids rand()%5 picks for kinds 0 and 1: 0x216A9, 0x316A9, 0x416A9, 0x616A9, 0xD16A9. Then one id per voice set: +0x14/+0x18 kind 0 hurt (0x617A9, 0x817A9), +0x1C/+0x20 kind 1 killed (0xE17A9, 0xD17A9), +0x24/+0x28 kind 2 head-killed (0xE17A9, 0xD17A9). The tail is kind 3, the ATTACK CRY, and its shape is different -- a PAIR per set that the routine coin-flips within, +0x2C (0x1317A9, 0x2217A9) for set A and +0x34 (0x1617A9, 0x117A9) for set B. The exporter read all fifteen and emitted eleven; the four that were dropped are why a zombie swung in silence.
005776b0	g_difficulty_hp_delta	{-30, -15, 0, 0, 0} added to obj+0x11E
005776ec	g_evt_action_table	queue_event action groups, 16 selectors each
005798f0	g_app_state_next_table	Six pointers indexed by g_wCaptionMode (0x009C911E), every one of them 0x004E1014, followed by a -1. Each points at a byte table indexed by g_app_state giving the state to request next; AppStateAdvanceByTable (0x0040E960) is next = table[caption][app_state]. The bytes at 0x004E1014 are 0A 00 00 09 00 0B 03 03 00 05 03 0A, so 5 -> 0x0B, 6 -> 3, 7 -> 3, 9 -> 5, 0x0A -> 3, 0x0B -> 0x0A.
00579914	g_motion_job_substeps	three entries; entry 3 onward is the "mot\%s" string
00579920	s_mot_path_format
00579968	g_backdrop_preset_table
00579f78	g_muzzle_flash_slots	s16 per player: the first of the nine asset slots the muzzle flash flips through -- 0x175 for player 0 and 0x17F for player 1, both pol/common.bin.
00579f7c	g_muzzle_smoke_slots	s16 per player: the first of the nine slots the flash's second draw flips through -- 0xB76 for player 0, 0xB84 for player 1. Entry +2 of the same run is the single quad the tracer draws.
0057a280	g_ModelFixupSlotList
00580354	g_bgm_names_ar
005803f8	g_bgm_names_plain
0058044a	g_voice_records
005845f8	g_se_name_list	{u32 id; char name[48]}, stride 0x34, 324 records, id 0xFFFF ends
005887fc	g_looping_se_ids	SE ids PlaySoundId (0x0041CFD0) plays LOOPED, walked as dwords until 0xFFFFFFFF. 44 entries, paired index for index with g_looping_se_stop_ids; EIGHT of the 44 rows repeat a play id already listed -- the tail of the table is a duplicate block -- which is harmless because the walk stops at the first match, and tools/verify_looping_se.py asserts that every repeat names the same stopper, so the walk order is not load-bearing.  Entry 4 is 0x4D17A9 (COMMON2\CHAIN_SAW_22.wav) and entry 34 is 0x1F25A9 (STAGE6_SE\LASER_SWORD_22.wav) -- the two ids EnemyZombieInitByCharType plays for character types 2 and 3, which is what makes the held-weapon noise a loop rather than a one-shot.
005888b0	g_looping_se_stop_ids	The stopper for each entry of g_looping_se_ids, same index, same length. An id found here makes PlaySoundId call SoundStopAllLoopingSe before playing it. All 44 pairs are X.wav against X_OFF.wav -- UFO_44, CHAIN_SAW_22, RAIN3ST_44, QUAKE_22, LASER_SWORD_22 -- which is what proves the pairing rather than the tables merely being adjacent.  The two that matter to class 0x30 are entry 4, 0x4E17A9, and entry 34, 0x2025A9 -- what ZombieReleaseWeaponLoopSe (0x00456600) plays when the last holder of the chainsaw or the laser sword dies.
00588b58	s_sound_bgm_prefix
00589828	g_attract_demo_playlist	The attract demo playlist RunAttractDemo (0x00426800) walks: 0x14 bytes an entry -- {s16 scene; s16 block; s16; s16; s16 bgm; u32 bgm_param; u32 ptr} -- terminated by a scene of -1. Three entries ship: scene 0 block 4, scene 1 block 28, scene 3 block 5, so the demo plays stages 1, 2 and 4. Proof that scenes 0..5 ARE the six playable stages, alongside scene 6 (the g_GameMode 2 entry ResetGameOnStart picks) and scenes 10 and 11 (the two attract screens at 0x0041F9B0 and 0x0041FB00).
00589ae0	g_class28_route_table	{path slot, freeze frame} pairs
00589da8	g_screen_message_records
0058b6b8	g_pDialogueVariants	evt 0x2D: u16[group][3], the variant per player configuration
0058bc68	g_pDialogueText	evt 0x2D: 0x40-byte {f32 x_offset, char text[0x3A], u16 end_frame} subtitle lines
005919a8	g_pDialogueLines	evt 0x2D: u16[variant][4] subtitle line ids, 0xFFFF-terminated
00592660	g_class11_states	Class 0x11's state table, ten dwords. 0 FrogStateWaitForCamPathFrame, 1/2/3 FrogStateHopWithinScreenWedge, 4/5 FrogStateHopInPlace, 6 FrogStateLeapAtPlayer, 7 FrogStateIdleAndCroak, 8 FrogStateDieTumbleAndSink, 9 NoOpStub. NOTHING EVER WRITES 9: the three writers of sub+0x04 are FrogArmScriptFromDescriptorTail (0), FrogAwardKillAndEnterDeath (8) and FrogReadNextScriptCommand (0-7), so the tenth cell is a live entry that cannot be reached.
005926a8	g_prop_behaviours	10 behaviour functions shared by classes 0x12/0x13/0x15
005928c8	g_class43_corpse_rails	f32[2][5][3] -- two five-point polylines bounding the stairwell a subtype-0 owl's corpse falls down, read only by OwlCorpseFallAndSettle, which reflects the corpse's z velocity when it crosses the first on the outside or the second on the inside. It ends exactly at g_class43_launch_delay (0x00592940), which is what fixes its length.
00592940	g_class43_launch_delay	s8[4] = {0, 1, 2, 3}, indexed by obj+0x228 and multiplied by 20 to give the frames OwlStateWaitLaunchDelay holds each owl before it leaves the perch. Sits in the four bytes immediately before g_class43_states, which is what bounds it at four -- and four is exactly the range the shipped descriptors use.
00592944	g_class43_states	Class 0x43's state table, seven entries used: 0 OwlStateWaitLaunchDelay, 1 OwlStateCircleHoldingPoint, 2 OwlStateFlyToHoldingPoint, 3 OwlStateRideApproachSpline, 4 OwlStateDiveAtCamera, 5 OwlStateOrbitAwayAfterStrike, 6 a bare RET at 0x00420810. Every write to obj+0x220 in the class produces 0..6; the dword at index 7 is NoOpStub, so the table may be eight long but nothing indexes it.
00592960	g_class31_states	36 entries
005929f0	g_class31_motion_sets	Four s32[6] rows at 005647B8, stride 0x18, indexed by obj+0x130C -- the behaviour set, which EnemyThrowerInit takes from the spawn descriptor's byte +1: +0 and +4 the idle pair (state 8 picks between them at random, or +0 for character type 0x17), +8 and +0C the walk pair picked by obj+0x34 bit 27 (states 7 and 18), +10 the landing clip (states 10 and 25), +14 the airborne clip (state 2). Set 0 is zstin, set 1 zsass, set 2 zskamere, set 3 zslman.
00592a00	g_class31_throws	Two rows of eight 0x10-byte entries, A at 00564818 (sets 0, 1 and 3) and B at 00564898 (set 2), indexed by obj+0x131A in the same layout as g_class30_attacks: {s16 strike; s16 lunge; f32 distance; s16 hit frame; s16 player damage motion; u16 cancel mask}. Each row is two groups of four -- right hand, left hand, unused, both-arms-gone -- and g_class31_attack_picks hands sets 0, 1 and 3 the indices 0, 1 and 3 and set 2 the indices 4, 5 and 6. Row A entry 3 is all zero.
00592a10	g_class31_melee_attacks	Three rows of 0x10-byte entries at 00564E58 (set 0, five stances), 00564F98 (sets 1 and 2, one stance) and 00564FD8 (set 3, five stances), indexed attack + stance*4 where the stance is obj+0x136C bit6 + bit7*2 + bit8*3 -- the surface: ground, one wall, the other, ceiling -- plus 4 while bit 17 marks a pounce. The entry is {u32 pointer to a 12-dword arc motion script; s32 hit frame, -1 meaning the arc's landing phase; s32 player damage motion; u32 cancel mask}.
00592a20	g_class31_attack_picks	Two s32[8][10] blocks at 00565118 (sets 0, 1 and 3) and 00565258 (set 2), read as a byte at (rand()/16 % 10 + (obj+0x1318 & 7) * 10) * 4 and stored to obj+0x131A. Intact gives a coin flip between the right hand (0 or 4) and the left (1 or 5), one arm gone forces the other, and both arms gone gives the head-butt slot (3 or 6).
00592a30	g_class31_action_pick_bands	Four rows of three pointers, stride 0xC, one per behaviour set; the band index is 0 unused, 1 for 40 < distance <= 50 and 2 for everything else. Reached through g_class31_action_picks.
00592a60	g_class31_action_picks	Per behaviour set, a pointer to a three-pointer band row in g_class31_action_pick_bands; each band points at an s32[8][10] of candidate state ids drawn as (rand()/16 % 10 + (obj+0x1318 & 7) * 10) by ThrowerPickNextState and gated by ThrowerTryEnterState. Band 0 is unreachable. Set 0 -- zstin -- is the only one that climbs: its band 1 is 14, 15, 16 and 12 and its band 2 is 7 and 13, where sets 1 and 3 only ever offer 7 and the throw, and set 2 offers nothing but 7.
00592a70	g_class31_hit_reactions	Two s32[8] rows indexed by g_bone_reaction_group[obj+0x1368], and the split is by motion bank rather than by behaviour: row A at 00565D98 is szom.bin (bank 47), which sets 0, 1 and 3 share because character types 0x16, 0x18 and 0x19 are all sixteen-bone szom skeletons, and row B at 00565DB8 is kame.bin (bank 20), set 2's, because zskamere is a twenty-four-bone skeleton of its own. That is why every table in this class has exactly two distinct rows.
00592a80	g_class31_corpse_frames	s32[8][2] pose frames for motions 0x3D9 to 0x3E0, addressed as the base plus ((rand()%17 >> 4) + motion*2 - 0x7B2) * 4 with no bounds check: 3D9 {104,98} 3DA {96,84} 3DB {76,75} 3DC {160,152} 3DD {83,80} 3DE {83,82} 3DF {94,91} 3E0 {73,70}. Class 0x31 never plays a motion in that range, so every use of this fallback reads outside the array -- ThrowerStateFallToSurface hands the corpse states 0x3A5, 0x3A9 or 0x1BA, which land in mesh floats at 005928E0 and 00592900 and in a string at 00591988. The four special-cased tables cover every other entry path.
00592ac0	g_class31_corpse_frames_m3a6	Corpse pose frames {44, 35} for motion 0x3A6, the airborne clip of behaviour sets 0 and 3.
00592ac8	g_class31_corpse_frames_m1bc	Corpse pose frames {18, 21} for motion 0x1BC, character type 0x17's death clip.
00592ad0	g_class31_corpse_frames_m11d	Corpse pose frames {48, 40} for motion 0x11D, the death clip of character types 0x18 and 0x19.
00592ad8	g_class31_corpse_frames_m11e	Corpse pose frames {74, 70} for motion 0x11E, character type 0x16's death clip.
